,classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
24897,484673096,not-logged-in-432134ae7c07c2f9bc80,,432134ae7c07c2f9bc80,22489,workflow1,57.56,2023-04-23 11:34:38 UTC,,,"{""source"":""api"",""session"":""32fdaefd0217e84502b74b5de1f902ddd8e5b725e4cbb7b308bc0ee92a33f5c6"",""viewport"":{""width"":1886,""height"":905},""started_at"":""2023-04-23T11:26:59.190Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2023-04-23T11:34:36.895Z"",""live_project"":true,""interventions"":{""opt_in"":false,""messageShown"":false},""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-04-23T11:24:01.216Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""58845""}","[{""task"":""T2"",""task_label"":""Do you see an insect? Play through the flipbook a few times just to be sure!"",""value"":""No""}]","{""87667123"":{""retired"":{""id"":115045424,""workflow_id"":22489,""classifications_count"":30,""created_at"":""2023-04-17T15:51:03.753Z"",""updated_at"":""2023-11-04T17:27:48.346Z"",""retired_at"":""2023-11-04T17:27:48.338Z"",""subject_id"":87667123,""retirement_reason"":""classification_count""},"""":""109"",""#notes"":"""",""#mag_euc"":""0.2503183423001258"",""#mag_iqr"":""0.0222287595196164"",""#mag_med"":""0.0136348991939137"",""#mag_std"":""0.0175854119240693"",""#insect_id"":"""",""subject_id"":""282"",""#video_name"":"""",""#extra_frame"":"""",""focal_frame_0"":""PICT8_932E_2022-06-17_10-08_003.h264_frame6652.jpg"",""focal_frame_1"":""PICT8_932E_2022-06-17_10-08_003.h264_frame6653.jpg"",""focal_frame_2"":""PICT8_932E_2022-06-17_10-08_003.h264_frame6654.jpg"",""#extra_frame_2"":"""",""focal_frame_-1"":""PICT8_932E_2022-06-17_10-08_003.h264_frame6651.jpg"",""focal_frame_-2"":""PICT8_932E_2022-06-17_10-08_003.h264_frame6650.jpg"",""#insect_behavior"":"""",""#frame_number_end"":"""",""#example_frame_name"":"""",""#frame_number_start"":""""}}",87667123
24898,484673154,not-logged-in-432134ae7c07c2f9bc80,,432134ae7c07c2f9bc80,22489,workflow1,57.56,2023-04-23 11:35:10 UTC,,,"{""source"":""api"",""session"":""32fdaefd0217e84502b74b5de1f902ddd8e5b725e4cbb7b308bc0ee92a33f5c6"",""viewport"":{""width"":1886,""height"":905},""started_at"":""2023-04-23T11:34:36.907Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2023-04-23T11:35:09.842Z"",""live_project"":true,""interventions"":{""opt_in"":false,""messageShown"":false},""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-04-23T11:24:01.216Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""58845""}","[{""task"":""T2"",""task_label"":""Do you see an insect? Play through the flipbook a few times just to be sure!"",""value"":""No""}]","{""87695234"":{""retired"":{""id"":115043695,""workflow_id"":22489,""classifications_count"":30,""created_at"":""2023-04-17T14:56:16.175Z"",""updated_at"":""2023-09-22T21:05:41.614Z"",""retired_at"":""2023-09-22T21:05:41.603Z"",""subject_id"":87695234,""retirement_reason"":""classification_count""},"""":""134"",""#notes"":"""",""#mag_euc"":""0.2501598804563084"",""#mag_iqr"":""0.0130025214698245"",""#mag_med"":""0.0085710166326606"",""#mag_std"":""0.0120221951015111"",""#insect_id"":"""",""subject_id"":""302"",""#video_name"":"""",""#extra_frame"":"""",""focal_frame_0"":""PICT5_5C15_2022-06-20_10-11_002.h264_frame293.jpg"",""focal_frame_1"":""PICT5_5C15_2022-06-20_10-11_002.h264_frame294.jpg"",""focal_frame_2"":""PICT5_5C15_2022-06-20_10-11_002.h264_frame295.jpg"",""#extra_frame_2"":"""",""focal_frame_-1"":""PICT5_5C15_2022-06-20_10-11_002.h264_frame292.jpg"",""focal_frame_-2"":""PICT5_5C15_2022-06-20_10-11_002.h264_frame291.jpg"",""#insect_behavior"":"""",""#frame_number_end"":"""",""#example_frame_name"":"""",""#frame_number_start"":""""}}",87695234
24899,484673224,not-logged-in-432134ae7c07c2f9bc80,,432134ae7c07c2f9bc80,22489,workflow1,57.56,2023-04-23 11:35:43 UTC,,,"{""source"":""api"",""session"":""32fdaefd0217e84502b74b5de1f902ddd8e5b725e4cbb7b308bc0ee92a33f5c6"",""viewport"":{""width"":1886,""height"":905},""started_at"":""2023-04-23T11:35:09.863Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2023-04-23T11:35:42.801Z"",""live_project"":true,""interventions"":{""opt_in"":false,""messageShown"":false},""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-04-23T11:24:01.216Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""58845""}","[{""task"":""T2"",""task_label"":""Do you see an insect? Play through the flipbook a few times just to be sure!"",""value"":""No""}]","{""87665799"":{""retired"":{""id"":115077074,""workflow_id"":22489,""classifications_count"":30,""created_at"":""2023-04-17T19:43:58.125Z"",""updated_at"":""2023-09-22T09:20:10.313Z"",""retired_at"":""2023-09-22T09:20:10.304Z"",""subject_id"":87665799,""retirement_reason"":""classification_count""},"""":""39"",""#notes"":"""",""#mag_euc"":""0.2502437238377345"",""#mag_iqr"":""0.0160069288838132"",""#mag_med"":""0.0106369022040509"",""#mag_std"":""0.0149810090310267"",""#insect_id"":"""",""subject_id"":""96"",""#video_name"":"""",""#extra_frame"":"""",""focal_frame_0"":""PICT5_5C15_2022-06-20_10-11_001.h264_frame1551.jpg"",""focal_frame_1"":""PICT5_5C15_2022-06-20_10-11_001.h264_frame1552.jpg"",""focal_frame_2"":""PICT5_5C15_2022-06-20_10-11_001.h264_frame1553.jpg"",""#extra_frame_2"":"""",""focal_frame_-1"":""PICT5_5C15_2022-06-20_10-11_001.h264_frame1550.jpg"",""focal_frame_-2"":""PICT5_5C15_2022-06-20_10-11_001.h264_frame1549.jpg"",""#insect_behavior"":"""",""#frame_number_end"":"""",""#example_frame_name"":"""",""#frame_number_start"":""""}}",87665799
24900,484673323,not-logged-in-432134ae7c07c2f9bc80,,432134ae7c07c2f9bc80,22489,workflow1,57.56,2023-04-23 11:36:17 UTC,,,"{""source"":""api"",""session"":""32fdaefd0217e84502b74b5de1f902ddd8e5b725e4cbb7b308bc0ee92a33f5c6"",""viewport"":{""width"":1886,""height"":905},""started_at"":""2023-04-23T11:35:42.813Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2023-04-23T11:36:16.190Z"",""live_project"":true,""interventions"":{""opt_in"":false,""messageShown"":false},""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-04-23T11:24:01.216Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""58845""}","[{""task"":""T2"",""task_label"":""Do you see an insect? Play through the flipbook a few times just to be sure!"",""value"":""No""}]","{""87663576"":{""retired"":{""id"":115075878,""workflow_id"":22489,""classifications_count"":30,""created_at"":""2023-04-17T19:28:47.155Z"",""updated_at"":""2023-11-02T12:35:36.461Z"",""retired_at"":""2023-11-02T12:35:36.453Z"",""subject_id"":87663576,""retirement_reason"":""classification_count""},"""":""136"",""#notes"":"""",""#mag_euc"":""0.2503123118866727"",""#mag_iqr"":""0.009346627453967"",""#mag_med"":""0.0098929799081672"",""#mag_std"":""0.0175002229319771"",""#insect_id"":"""",""subject_id"":""426"",""#video_name"":"""",""#extra_frame"":"""",""focal_frame_0"":""PICT10_1ED7_2022-07-21_10-59_001.h264_frame3214.jpg"",""focal_frame_1"":""PICT10_1ED7_2022-07-21_10-59_001.h264_frame3215.jpg"",""focal_frame_2"":""PICT10_1ED7_2022-07-21_10-59_001.h264_frame3216.jpg"",""#extra_frame_2"":"""",""focal_frame_-1"":""PICT10_1ED7_2022-07-21_10-59_001.h264_frame3213.jpg"",""focal_frame_-2"":""PICT10_1ED7_2022-07-21_10-59_001.h264_frame3212.jpg"",""#insect_behavior"":"""",""#frame_number_end"":"""",""#example_frame_name"":"""",""#frame_number_start"":""""}}",87663576
24901,484673398,not-logged-in-432134ae7c07c2f9bc80,,432134ae7c07c2f9bc80,22489,workflow1,57.56,2023-04-23 11:36:47 UTC,,,"{""source"":""api"",""session"":""32fdaefd0217e84502b74b5de1f902ddd8e5b725e4cbb7b308bc0ee92a33f5c6"",""viewport"":{""width"":1886,""height"":905},""started_at"":""2023-04-23T11:36:16.202Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2023-04-23T11:36:46.554Z"",""live_project"":true,""interventions"":{""opt_in"":false,""messageShown"":false},""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-04-23T11:24:01.216Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""58845""}","[{""task"":""T2"",""task_label"":""Do you see an insect? Play through the flipbook a few times just to be sure!"",""value"":""No""}]","{""87250851"":{""retired"":{""id"":115076554,""workflow_id"":22489,""classifications_count"":30,""created_at"":""2023-04-17T19:36:50.355Z"",""updated_at"":""2023-07-21T23:12:32.754Z"",""retired_at"":""2023-07-21T23:12:32.745Z"",""subject_id"":87250851,""retirement_reason"":""classification_count""},"""":""8"",""#notes"":"""",""#mag_euc"":""0.2577787789894669"",""#mag_iqr"":""0.0559271393151284"",""#mag_med"":""0.0607245825753327"",""#mag_std"":""0.08498077662266"",""#insect_id"":"""",""subject_id"":""27"",""#video_name"":"""",""#extra_frame"":"""",""focal_frame_0"":""PICT2_86A5_2022-07-13_11-22_001.h264_frame13780.jpg"",""focal_frame_1"":""PICT2_86A5_2022-07-13_11-22_001.h264_frame13781.jpg"",""focal_frame_2"":""PICT2_86A5_2022-07-13_11-22_001.h264_frame13782.jpg"",""#extra_frame_2"":"""",""focal_frame_-1"":""PICT2_86A5_2022-07-13_11-22_001.h264_frame13779.jpg"",""focal_frame_-2"":""PICT2_86A5_2022-07-13_11-22_001.h264_frame13778.jpg"",""#insect_behavior"":"""",""#frame_number_end"":"""",""#example_frame_name"":"""",""#frame_number_start"":""""}}",87250851
24902,484673541,not-logged-in-432134ae7c07c2f9bc80,,432134ae7c07c2f9bc80,22489,workflow1,57.56,2023-04-23 11:37:36 UTC,,,"{""source"":""api"",""session"":""32fdaefd0217e84502b74b5de1f902ddd8e5b725e4cbb7b308bc0ee92a33f5c6"",""viewport"":{""width"":1886,""height"":905},""started_at"":""2023-04-23T11:36:46.565Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2023-04-23T11:37:35.408Z"",""live_project"":true,""interventions"":{""opt_in"":false,""messageShown"":false},""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-04-23T11:24:01.216Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""58845""}","[{""task"":""T2"",""task_label"":""Do you see an insect? Play through the flipbook a few times just to be sure!"",""value"":""No""}]","{""87666514"":{""retired"":{""id"":115047875,""workflow_id"":22489,""classifications_count"":30,""created_at"":""2023-04-17T17:02:08.348Z"",""updated_at"":""2023-10-17T02:43:10.078Z"",""retired_at"":""2023-10-17T02:43:10.067Z"",""subject_id"":87666514,""retirement_reason"":""classification_count""},"""":""130"",""#notes"":"""",""#mag_euc"":""0.2507396656383585"",""#mag_iqr"":""0.0240544166697175"",""#mag_med"":""0.0173279592659546"",""#mag_std"":""0.0269505342870505"",""#insect_id"":"""",""subject_id"":""361"",""#video_name"":"""",""#extra_frame"":"""",""focal_frame_0"":""PICT6_927B_2022-07-08_06-00_010.h264_frame8228.jpg"",""focal_frame_1"":""PICT6_927B_2022-07-08_06-00_010.h264_frame8229.jpg"",""focal_frame_2"":""PICT6_927B_2022-07-08_06-00_010.h264_frame8230.jpg"",""#extra_frame_2"":"""",""focal_frame_-1"":""PICT6_927B_2022-07-08_06-00_010.h264_frame8227.jpg"",""focal_frame_-2"":""PICT6_927B_2022-07-08_06-00_010.h264_frame8226.jpg"",""#insect_behavior"":"""",""#frame_number_end"":"""",""#example_frame_name"":"""",""#frame_number_start"":""""}}",87666514
24903,484673635,not-logged-in-432134ae7c07c2f9bc80,,432134ae7c07c2f9bc80,22489,workflow1,57.56,2023-04-23 11:38:09 UTC,,,"{""source"":""api"",""session"":""32fdaefd0217e84502b74b5de1f902ddd8e5b725e4cbb7b308bc0ee92a33f5c6"",""viewport"":{""width"":1886,""height"":905},""started_at"":""2023-04-23T11:37:35.845Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2023-04-23T11:38:08.501Z"",""live_project"":true,""interventions"":{""opt_in"":false,""messageShown"":false},""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-04-23T11:24:01.216Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""58845""}","[{""task"":""T2"",""task_label"":""Do you see an insect? Play through the flipbook a few times just to be sure!"",""value"":""No""}]","{""87664414"":{""retired"":{""id"":115077672,""workflow_id"":22489,""classifications_count"":30,""created_at"":""2023-04-17T19:52:30.099Z"",""updated_at"":""2023-10-27T20:21:10.228Z"",""retired_at"":""2023-10-27T20:21:10.214Z"",""subject_id"":87664414,""retirement_reason"":""classification_count""},"""":""174"",""#notes"":"""",""#mag_euc"":""0.2505180788233329"",""#mag_iqr"":""0.0106714622168506"",""#mag_med"":""0.0119785095020987"",""#mag_std"":""0.0218822671622789"",""#insect_id"":"""",""subject_id"":""542"",""#video_name"":"""",""#extra_frame"":"""",""focal_frame_0"":""PICT11_EF8B_2022-07-06_06-00_013.h264_frame3814.jpg"",""focal_frame_1"":""PICT11_EF8B_2022-07-06_06-00_013.h264_frame3815.jpg"",""focal_frame_2"":""PICT11_EF8B_2022-07-06_06-00_013.h264_frame3816.jpg"",""#extra_frame_2"":"""",""focal_frame_-1"":""PICT11_EF8B_2022-07-06_06-00_013.h264_frame3813.jpg"",""focal_frame_-2"":""PICT11_EF8B_2022-07-06_06-00_013.h264_frame3812.jpg"",""#insect_behavior"":"""",""#frame_number_end"":"""",""#example_frame_name"":"""",""#frame_number_start"":""""}}",87664414
24904,484673722,not-logged-in-432134ae7c07c2f9bc80,,432134ae7c07c2f9bc80,22489,workflow1,57.56,2023-04-23 11:38:42 UTC,,,"{""source"":""api"",""session"":""32fdaefd0217e84502b74b5de1f902ddd8e5b725e4cbb7b308bc0ee92a33f5c6"",""viewport"":{""width"":1886,""height"":905},""started_at"":""2023-04-23T11:38:08.521Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2023-04-23T11:38:41.203Z"",""live_project"":true,""interventions"":{""opt_in"":false,""messageShown"":false},""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-04-23T11:37:36.599Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""58845""}","[{""task"":""T2"",""task_label"":""Do you see an insect? Play through the flipbook a few times just to be sure!"",""value"":""No""}]","{""87666196"":{""retired"":{""id"":115043753,""workflow_id"":22489,""classifications_count"":30,""created_at"":""2023-04-17T14:58:08.986Z"",""updated_at"":""2023-11-05T01:44:48.215Z"",""retired_at"":""2023-11-05T01:44:48.208Z"",""subject_id"":87666196,""retirement_reason"":""classification_count""},"""":""21"",""#notes"":"""",""#mag_euc"":""0.2554661973494234"",""#mag_iqr"":""0.025144824362104"",""#mag_med"":""0.0399439059325742"",""#mag_std"":""0.0732293673344119"",""#insect_id"":"""",""subject_id"":""82"",""#video_name"":"""",""#extra_frame"":"""",""focal_frame_0"":""PICT6_927B_2022-07-08_06-00_009.h264_frame7675.jpg"",""focal_frame_1"":""PICT6_927B_2022-07-08_06-00_009.h264_frame7676.jpg"",""focal_frame_2"":""PICT6_927B_2022-07-08_06-00_009.h264_frame7677.jpg"",""#extra_frame_2"":"""",""focal_frame_-1"":""PICT6_927B_2022-07-08_06-00_009.h264_frame7674.jpg"",""focal_frame_-2"":""PICT6_927B_2022-07-08_06-00_009.h264_frame7673.jpg"",""#insect_behavior"":"""",""#frame_number_end"":"""",""#example_frame_name"":"""",""#frame_number_start"":""""}}",87666196
24905,484673758,not-logged-in-432134ae7c07c2f9bc80,,432134ae7c07c2f9bc80,22489,workflow1,57.56,2023-04-23 11:39:02 UTC,,,"{""source"":""api"",""session"":""32fdaefd0217e84502b74b5de1f902ddd8e5b725e4cbb7b308bc0ee92a33f5c6"",""viewport"":{""width"":1886,""height"":905},""started_at"":""2023-04-23T11:38:41.215Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2023-04-23T11:39:01.085Z"",""live_project"":true,""interventions"":{""opt_in"":false,""messageShown"":false},""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":1086,""clientHeight"":815,""naturalWidth"":1296,""naturalHeight"":972}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-04-23T11:37:36.599Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""58845""}","[{""task"":""T2"",""task_label"":""Do you see an insect? Play through the flipbook a few times just to be sure!"",""value"":""No""}]","{""87667039"":{""retired"":{""id"":115046198,""workflow_id"":22489,""classifications_count"":30,""created_at"":""2023-04-17T16:12:42.036Z"",""updated_at"":""2023-08-05T11:10:33.544Z"",""retired_at"":""2023-08-05T11:10:33.536Z"",""subject_id"":87667039,""retirement_reason"":""classification_count""},"""":""28"",""#notes"":"""",""#mag_euc"":""0.250602352390866"",""#mag_iqr"":""0.0305243107498525"",""#mag_med"":""0.0187415364709963"",""#mag_std"":""0.024152799860291"",""#insect_id"":"""",""subject_id"":""74"",""#video_name"":"""",""#extra_frame"":"""",""focal_frame_0"":""PICT8_932E_2022-06-17_10-08_003.h264_frame15891.jpg"",""focal_frame_1"":""PICT8_932E_2022-06-17_10-08_003.h264_frame15892.jpg"",""focal_frame_2"":""PICT8_932E_2022-06-17_10-08_003.h264_frame15893.jpg"",""#extra_frame_2"":"""",""focal_frame_-1"":""PICT8_932E_2022-06-17_10-08_003.h264_frame15890.jpg"",""focal_frame_-2"":""PICT8_932E_2022-06-17_10-08_003.h264_frame15889.jpg"",""#insect_behavior"":"""",""#frame_number_end"":"""",""#example_frame_name"":"""",""#frame_number_start"":""""}}",87667039
25366,484737152,not-logged-in-7c1c4f0e7ed054abac1d,,7c1c4f0e7ed054abac1d,22489,workflow1,57.56,2023-04-23 17:27:19 UTC,,,"{""source"":""api"",""session"":""f38e1867b704d64379272b834d51273355269f81bbcff5ead5a68163676d31c7"",""viewport"":{""width"":390,""height"":745},""started_at"":""2023-04-23T17:26:58.086Z"",""user_agent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1"",""utc_offset"":""25200"",""finished_at"":""2023-04-23T17:27:19.303Z"",""live_project"":true,""interventions"":{""opt_in"":false,""messageShown"":false},""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":316,""clientHeight"":237,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":316,""clientHeight"":237,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":316,""clientHeight"":237,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":316,""clientHeight"":237,""naturalWidth"":1296,""naturalHeight"":972},{""clientWidth"":316,""clientHeight"":237,""naturalWidth"":1296,""naturalHeight"":972}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-04-23T17:26:58.003Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""58845""}","[{""task"":""T2"",""task_label"":""Do you see an insect? Play through the flipbook a few times just to be sure!"",""value"":""No""}]","{""87666776"":{""retired"":{""id"":115050381,""workflow_id"":22489,""classifications_count"":30,""created_at"":""2023-04-17T17:37:27.562Z"",""updated_at"":""2023-10-19T01:15:28.374Z"",""retired_at"":""2023-10-19T01:15:28.323Z"",""subject_id"":87666776,""retirement_reason"":""classification_count""},"""":""180"",""#notes"":"""",""#mag_euc"":""0.2504911421060191"",""#mag_iqr"":""0.0092132372799476"",""#mag_med"":""0.0096477687061664"",""#mag_std"":""0.0222670101386213"",""#insect_id"":"""",""subject_id"":""309"",""#video_name"":"""",""#extra_frame"":"""",""focal_frame_0"":""PICT6_9545_2022-06-18_11-27_001.h264_frame5964.jpg"",""focal_frame_1"":""PICT6_9545_2022-06-18_11-27_001.h264_frame5965.jpg"",""focal_frame_2"":""PICT6_9545_2022-06-18_11-27_001.h264_frame5966.jpg"",""#extra_frame_2"":"""",""focal_frame_-1"":""PICT6_9545_2022-06-18_11-27_001.h264_frame5963.jpg"",""focal_frame_-2"":""PICT6_9545_2022-06-18_11-27_001.h264_frame5962.jpg"",""#insect_behavior"":"""",""#frame_number_end"":"""",""#example_frame_name"":"""",""#frame_number_start"":""""}}",87666776
